Time,Date,Sender_account,Receiver_account,Amount,Payment_currency,Received_currency,Sender_bank_location,Receiver_bank_location,Payment_type
12:42:05,5/7/2026,5708559613,5741860810,32184.44,UK pounds,UK pounds,UK,UK,Credit card
12:42:07,5/7/2026,6665591208,9710838491,2644.87,UK pounds,UK pounds,UK,UK,Cash Deposit
12:42:08,5/7/2026,8572310683,5896180453,6158.11,UK pounds,UK pounds,UK,UK,Credit card
12:42:08,5/7/2026,1918087522,3538220260,2815.43,UK pounds,UK pounds,UK,UK,Cheque
12:42:11,5/7/2026,8493100501,5182741221,946.99,UK pounds,UK pounds,UK,UK,ACH
12:42:13,5/7/2026,4784991805,1520019731,4425.66,UK pounds,UK pounds,UK,UK,Credit card
12:42:17,5/7/2026,6803873546,7548582439,6238.28,UK pounds,UK pounds,UK,UK,ACH
12:42:17,5/7/2026,9909574335,2897508498,4347.68,UK pounds,UK pounds,UK,UK,Debit card
12:42:18,5/7/2026,91914997,3661467253,273.71,UK pounds,UK pounds,UK,UK,ACH
12:42:23,5/7/2026,735534497,2922700745,3279.28,UK pounds,UK pounds,UK,UK,Debit card
12:42:26,5/7/2026,3510078932,1625701030,6292.38,UK pounds,UK pounds,UK,UK,ACH
12:42:33,5/7/2026,8121014003,1316458123,6559.7,UK pounds,Mexican Peso,UK,Mexico,Cross-border
12:42:39,5/7/2026,7758268667,9781013421,9687.92,UK pounds,UK pounds,UK,UK,ACH
12:42:41,5/7/2026,3670139601,9284374487,3542.15,UK pounds,UK pounds,UK,UK,Cheque
12:42:41,5/7/2026,7192588619,5784381078,1193.72,UK pounds,UK pounds,UK,UK,Debit card
12:42:44,5/7/2026,6116657264,1672288255,7289.47,UK pounds,UK pounds,UK,UK,Credit card
12:42:50,5/7/2026,3238526156,1465487567,21203.91,UK pounds,UK pounds,UK,UK,Cheque
12:42:50,5/7/2026,3459228011,9420023151,79.77,UK pounds,UK pounds,UK,UK,ACH
12:42:53,5/7/2026,9043338769,1299324105,8662.33,UK pounds,UK pounds,UK,UK,ACH
12:42:53,5/7/2026,5804227223,7047814082,1775.87,UK pounds,UK pounds,UK,UK,ACH
12:42:57,5/7/2026,7797425766,9874339405,8431.85,UK pounds,UK pounds,UK,UK,Debit card
12:42:58,5/7/2026,9392700144,7713641622,9910.85,UK pounds,UK pounds,UK,UK,ACH
12:42:59,5/7/2026,312396354,2138505015,12598.47,UK pounds,Dirham,UK,UAE,Cross-border
12:43:14,5/7/2026,5804227223,7548524701,704.55,UK pounds,UK pounds,UK,UK,Debit card
12:43:16,5/7/2026,9523952344,7148856115,1646.99,UK pounds,UK pounds,UK,UK,Cash Deposit
12:43:24,5/7/2026,2484231014,1465487567,7300.93,UK pounds,UK pounds,UK,UK,Debit card
12:43:25,5/7/2026,5955159897,6034997194,13321.52,Euro,UK pounds,Germany,UK,Cross-border
12:43:41,5/7/2026,6235572522,3535201459,241.39,UK pounds,UK pounds,UK,UK,Cash Withdrawal
12:43:43,5/7/2026,8003608688,6034997194,33756.74,UK pounds,UK pounds,UK,UK,ACH
12:43:47,5/7/2026,5151881380,8725751410,4811.2,UK pounds,UK pounds,UK,UK,Cheque
12:43:48,5/7/2026,407290317,1165137022,8087.83,UK pounds,UK pounds,UK,UK,Cheque
12:43:53,5/7/2026,3012603098,6428079472,1006.1,UK pounds,UK pounds,UK,UK,Cheque
12:43:55,5/7/2026,4316483340,3488425844,6282.38,UK pounds,UK pounds,UK,UK,ACH
12:44:01,5/7/2026,1092702536,3220735304,19371.89,UK pounds,UK pounds,UK,UK,ACH
12:44:02,5/7/2026,1499166311,1911427515,1703.31,UK pounds,UK pounds,UK,UK,ACH
12:44:03,5/7/2026,3876523765,7979406195,508.6,UK pounds,UK pounds,UK,UK,Cash Deposit
12:44:04,5/7/2026,8600069993,7892884492,12379.04,UK pounds,US dollar,UK,USA,Cross-border
12:44:05,5/7/2026,6648735087,6264003209,47664.17,UK pounds,UK pounds,UK,UK,ACH
12:44:06,5/7/2026,6156834944,8678802420,21291.14,UK pounds,UK pounds,UK,UK,Credit card
12:44:07,5/7/2026,7501327339,4961006135,6420.34,UK pounds,UK pounds,UK,UK,ACH
12:44:07,5/7/2026,596367731,5719844228,9419.81,UK pounds,UK pounds,UK,UK,Cheque
12:44:08,5/7/2026,8017023442,2478696011,1324.54,UK pounds,UK pounds,UK,UK,Debit card
12:44:11,5/7/2026,5223272370,1186537090,5790.54,UK pounds,UK pounds,UK,UK,Credit card
12:44:11,5/7/2026,5021785800,9199525861,6612.83,UK pounds,UK pounds,UK,UK,Debit card
12:44:12,5/7/2026,7849241516,1465487567,6996.39,UK pounds,UK pounds,UK,UK,ACH
12:44:13,5/7/2026,7394937898,8898445416,3061.65,UK pounds,UK pounds,UK,UK,Credit card
12:44:17,5/7/2026,8319501269,1689748473,2716.35,UK pounds,UK pounds,UK,UK,Cash Deposit
12:44:17,5/7/2026,5071781251,9501125485,2338.68,UK pounds,UK pounds,UK,UK,Cash Deposit
12:44:19,5/7/2026,8083570625,5583952328,74.33,UK pounds,UK pounds,UK,UK,Debit card
12:44:20,5/7/2026,2168910862,8678802420,7009.58,UK pounds,UK pounds,UK,UK,ACH
12:44:21,5/7/2026,288448161,3506140194,1667.98,UK pounds,UK pounds,UK,UK,Cheque
12:44:21,5/7/2026,9506591992,791276398,19245.02,UK pounds,UK pounds,UK,UK,ACH
12:44:24,5/7/2026,3497124400,375261355,513.74,UK pounds,UK pounds,UK,UK,Cheque
12:44:27,5/7/2026,3009397443,5708936901,11425.34,UK pounds,UK pounds,UK,UK,Cheque
12:44:32,5/7/2026,4668123872,905071615,4593.94,UK pounds,UK pounds,UK,UK,Cash Deposit
12:44:34,5/7/2026,9218034175,6511116461,5945.35,UK pounds,UK pounds,UK,UK,Debit card
12:44:37,5/7/2026,3844336299,7160736915,10944.41,UK pounds,UK pounds,UK,UK,Cheque
12:44:38,5/7/2026,5989800916,172510384,852.71,UK pounds,UK pounds,UK,UK,Cheque
12:44:39,5/7/2026,1890157187,4305970891,1539.47,UK pounds,UK pounds,UK,UK,Credit card
12:44:41,5/7/2026,1915450576,6846852475,5211.74,UK pounds,UK pounds,UK,UK,Cheque
12:44:46,5/7/2026,3614082527,2547799506,12298.47,UK pounds,UK pounds,UK,UK,Credit card
12:44:48,5/7/2026,7438507951,3220735304,18943.66,UK pounds,UK pounds,UK,UK,Cheque
12:44:50,5/7/2026,5589395940,2485684866,3296.53,UK pounds,UK pounds,UK,UK,Cheque
12:44:51,5/7/2026,1491989064,7160767531,8287.4,UK pounds,UK pounds,UK,UK,ACH
12:44:53,5/7/2026,7590592049,8355436243,2504.69,UK pounds,UK pounds,UK,UK,Cheque
12:44:53,5/7/2026,2739237963,5624016781,11256.14,UK pounds,UK pounds,UK,UK,Credit card
12:44:58,5/7/2026,9088114734,6574810359,6630.56,UK pounds,UK pounds,UK,UK,Credit card
